rice, beans, and salad	1 can black beans, 453 g cooked brown rice, spring salad mix or lettuce, cherry tomatoes
burgers and fries	2 portobello mushrooms, 1 package frozen fries
sloppy joes	1 package tofurky crumbles, 300 ml tomato sauce, green onions
stir fry	1 onion, kale, 1 red pepper, 1 package white button mushrooms
ramen soup	1 package organic ramen noodles, 10 g bouillon paste, 1 package frozen mixed vegetables, miso paste for flavor
curried butternut squash soup	2 shallots, 15 ml grape seed oil, 6 cups butternut squash, 1 can light coconut milk, 5 g bouillon paste, 30 ml maple syrup, 12 g curry powder, 1 g ground cinnamon, 2 clove garlic, 8 g toasted pumpkin seeds
burritos	1 package tofurky crumbles, 680 g cooked brown rice, 8 flour tortillas, 1 can corn
tacos	1 package hard taco shells, 1 can back beans, lettuce, 1 tomato, 1 can corn
butternut squash enchiladas	420 g cubed butternut squash, 15 ml grape seed oil, 1 can black beans, 8 yellow corn tortillas, 425 ml tomato sauce, 1 chipotle pepper in adobo sauce, 20 ml maple syrup, 8 g toasted pumpkin seeds, 1 avocado, cilantro, 2.5 g ground cumin
kale salad	1 bunch kale, 1 package frozen edamame, 2 carrots, 2 baby bok choy
pasta with marinara, beans or silken tofu, and nooch	1 package whole wheat pasta, 368.5 ml marinara, 1 can black beans, sun dried tomatoes, fresh basil
bowl of sweet potato, quinoa or rice	453 g cooked brown rice, 1 sweet potato, 1 avocado, cilantro
chili	1 yellow onion, carrots, 1 can diced tomatoes, 1 can chickpeas, 1 can kidney beans, 1 can cannellini beans, handful pine nuts, parsley, 75 ml olive oil
spaghetti squash bake 	2 spaghetti squash 1.3 kg (3 lbs) each, 50 ml olive oil, 2 lemons, 340 g extra firm tofu, basil, 708 ml marinara, 178 g raw cashews, 9 g nutritional yeast, 30 g basil, 3 g dry oregano, 60 g vegan parmesan cheese
pad thai	340 g extra firm tofu, 1 package rice noodles, 1 medium broccoli head, 2 large zucchini, green onion, brown sugar, soy sauce, tomato paste, rice vinegar, sesame oil, 1 lime, 119 g peanuts, sesame seeds, cilantro or parsley, small red pepper
falafel & salad	236 g chickpea flour, parsley, 1.23 g baking soda, 1.23 g salt, 2.46 g cumin, 2.46 g onion powder, 44 ml lemon juice, 30 ml olive oil, sesame seeds, 1 package cherry tomatoes, lettuce, olives, balsamic vinaigrette,1 cucumber
lasanga with ricotta	1 package lasagna noodles, 236 g raw cashews, 44 ml lemon juice, 59 ml almondmilk, 7.4 g dried basil, 79 g fresh chives, 1 package spinach, 1 package white button mushrooms, 473 ml marinara, 30 ml maple syrup, 30 ml olive oil, 5 clove garlic
shepherd's pie	1 yellow onion, dry brown/green lentils, 10 g bouillon paste, 2 tsp fresh or 1 tsp dry thyme, 1 bag frozen vegetables, 3 lbs potatoes
spicy mac & cheese	1 package elbow macaroni, 354 g raw cashews, 1 clove garlic, 44 ml lemon juice, 60 g nutritional yeast, 1.23 g paprika, 1.23 g turmeric, 2.4 g dijon mustard, 0.6 g cayenne pepper, 0.6 g paprika, parsley
pasta alfredo	340 g cauliflower, 1 clove garlic, 5 ml olive oil, 175 ml almond milk, 15 g nutritional yeast, 7.4 ml lemon juice, 120 gwhole wheat pasta
bbq sandwiches	192 g green lentils, 30 ml olive oil, 1 yellow onion, 200 g carrots, 24 g raw sugar, 7.4 g paprika, 4.9 g garlic powder, 200 ml vegan bbq sauce, 4 whole wheat burger buns
nicoise salad	6 small red potatoes, 100 g green beans, lettuce, 50 g pitted olives, 1 tomato, 1 beet, 425 g chickpeas, 4.9 g dijon mustard, 4.9 ml maple syrup, 4.9 g dried dill, 8 g sunflower seeds, 10 g shallot, 2.5 g dried thyme, 80 ml red wine vinegar, 60 ml olive oil
cauliflower rice burrito bowl	1 can black beans, 2.46 g ground cumin, 2.46 g chili powder, 30 ml olive oil, 3 clove garlic, 1 red onion, 1 cauliflower, 2 limes, 4.9 g ground cumin, 2.46 g chili powder, 80 ml red salsa, cilantro, 1 red bell pepper
mushroom, scallion, tofu sautée	14 ml coconut oil, 1 package white button mushrooms, green onions, 340 g extra firm tofu
zuppa vegana	1 onion, 6 clove garlic, 10 g bouillon paste, 453 g small potatoes, 2 cans pinto beans, 4.9 g dried oregano, 4.5 dried basil, 2.46 g dried rosemary, 2.46 fennel seeds, 2.46 g red pepper, 118 ml almondmilk, 14.8 g nutritional yeast
